Col,Row,Year,Race,Gender,Ethnicity,AgeRange,Population
46131,1,2010,ALL,ALL,ALL,6TO12,3083
46131,1,2010,ALL,ALL,ALL,13TO17,2276
46131,1,2010,ALL,ALL,ALL,EIGHTEEN,459
46131,1,2010,ALL,ALL,ALL,19TO64,18188
46131,1,2010,ALL,ALL,ALL,65TO69,1147
46131,1,2010,ALL,ALL,ALL,70TO74,967
46131,1,2010,ALL,ALL,ALL,75UP,2406
46135,1,2010,ALL,ALL,ALL,INFANT,181
46135,1,2010,ALL,ALL,ALL,1TO4,772
46135,1,2010,ALL,ALL,ALL,FIVE,196
46135,1,2010,ALL,ALL,ALL,6TO12,1541
46135,1,2010,ALL,ALL,ALL,13TO17,1215
46135,1,2010,ALL,ALL,ALL,EIGHTEEN,454
46135,1,2010,ALL,ALL,ALL,19TO64,13882
46135,1,2010,ALL,ALL,ALL,65TO69,719
46135,1,2010,ALL,ALL,ALL,70TO74,673
46135,1,2010,ALL,ALL,ALL,75UP,1359
46140,1,2010,ALL,ALL,ALL,INFANT,445
46140,1,2010,ALL,ALL,ALL,1TO4,2003
46140,1,2010,ALL,ALL,ALL,FIVE,489
46140,1,2010,ALL,ALL,ALL,6TO12,3925
46140,1,2010,ALL,ALL,ALL,13TO17,2738
46140,1,2010,ALL,ALL,ALL,EIGHTEEN,517
46140,1,2010,ALL,ALL,ALL,19TO64,22977
46140,1,2010,ALL,ALL,ALL,65TO69,1772
46140,1,2010,ALL,ALL,ALL,70TO74,1280
46140,1,2010,ALL,ALL,ALL,75UP,2397
46142,1,2010,ALL,ALL,ALL,INFANT,357
46142,1,2010,ALL,ALL,ALL,1TO4,1593
46142,1,2010,ALL,ALL,ALL,FIVE,419
46142,1,2010,ALL,ALL,ALL,6TO12,3060
46142,1,2010,ALL,ALL,ALL,13TO17,2244
46142,1,2010,ALL,ALL,ALL,EIGHTEEN,430
46142,1,2010,ALL,ALL,ALL,19TO64,18291
46142,1,2010,ALL,ALL,ALL,65TO69,1443
46142,1,2010,ALL,ALL,ALL,70TO74,983
46142,1,2010,ALL,ALL,ALL,75UP,1593
46143,1,2010,ALL,ALL,ALL,INFANT,692
46143,1,2010,ALL,ALL,ALL,1TO4,2993
46143,1,2010,ALL,ALL,ALL,FIVE,721
46143,1,2010,ALL,ALL,ALL,6TO12,5479
46143,1,2010,ALL,ALL,ALL,13TO17,3615
46143,1,2010,ALL,ALL,ALL,EIGHTEEN,619
46143,1,2010,ALL,ALL,ALL,19TO64,28991
46143,1,2010,ALL,ALL,ALL,65TO69,1724
46143,1,2010,ALL,ALL,ALL,70TO74,1288
46143,1,2010,ALL,ALL,ALL,75UP,2433
46147,1,2010,ALL,ALL,ALL,INFANT,31
46147,1,2010,ALL,ALL,ALL,1TO4,177
46147,1,2010,ALL,ALL,ALL,FIVE,45
46147,1,2010,ALL,ALL,ALL,6TO12,361
46147,1,2010,ALL,ALL,ALL,13TO17,280
46147,1,2010,ALL,ALL,ALL,EIGHTEEN,49
46147,1,2010,ALL,ALL,ALL,19TO64,1949
46147,1,2010,ALL,ALL,ALL,65TO69,128
46147,1,2010,ALL,ALL,ALL,70TO74,86
46147,1,2010,ALL,ALL,ALL,75UP,158
46149,1,2010,ALL,ALL,ALL,INFANT,11
46149,1,2010,ALL,ALL,ALL,1TO4,108
46149,1,2010,ALL,ALL,ALL,FIVE,25
46149,1,2010,ALL,ALL,ALL,6TO12,203
46149,1,2010,ALL,ALL,ALL,13TO17,166
46149,1,2010,ALL,ALL,ALL,EIGHTEEN,23
46149,1,2010,ALL,ALL,ALL,19TO64,1141
46149,1,2010,ALL,ALL,ALL,65TO69,81
46149,1,2010,ALL,ALL,ALL,70TO74,54
46149,1,2010,ALL,ALL,ALL,75UP,78
46150,1,2010,ALL,ALL,ALL,INFANT,9
46150,1,2010,ALL,ALL,ALL,1TO4,32
46150,1,2010,ALL,ALL,ALL,FIVE,9
46150,1,2010,ALL,ALL,ALL,6TO12,65
46150,1,2010,ALL,ALL,ALL,13TO17,55
46150,1,2010,ALL,ALL,ALL,EIGHTEEN,10
46150,1,2010,ALL,ALL,ALL,19TO64,464
46150,1,2010,ALL,ALL,ALL,65TO69,45
46150,1,2010,ALL,ALL,ALL,70TO74,22
46150,1,2010,ALL,ALL,ALL,75UP,53
46151,1,2010,ALL,ALL,ALL,INFANT,359
46151,1,2010,ALL,ALL,ALL,1TO4,1542
46151,1,2010,ALL,ALL,ALL,FIVE,393
46151,1,2010,ALL,ALL,ALL,6TO12,2991
46151,1,2010,ALL,ALL,ALL,13TO17,2266
